服务经理归属机构,服务经理新归属团队代码,服务经理新归属团队,续保分子,续保分母,归属团队续保率
青岛市南支公司,37020209,电销续保业务部,590,820,71.95
青岛市北支公司,37020314,电销续保业务一部,707,920,76.85
青岛市北支公司,37020333,电销续保业务二部,815,1068,76.31
青岛李沧支公司,37021312,电销续保业务部,652,861,75.73
青岛分公司电子商务营业部,37028600,青岛分公司电子商务营业部,762,995,76.58
青岛分公司电子商务营业部,37028604,电销续保业务一部,506,663,76.32
青岛分公司电子商务营业部,37028605,电销续保业务二部,527,684,77.05
青岛分公司电子商务营业部,37028606,电销续保业务三部,864,1108,77.98
青岛分公司电子商务营业部,37028609,电销续保业务四部,265,347,76.37
青岛崂山支公司,37029504,电销续保业务一部,734,999,73.47
青岛车险业务第一支公司,37029713,电销续保业务部,757,1001,75.62
青岛车险业务第二支公司,37029808,电销续保业务部,367,599,61.27
